Music Name,Artist,Music ID,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Duration_ms,Key,Mode,Time_signature,Popularity
(Ha Ha) Slow Down,Fat Joe,2GSvDs1qdhcPpfawycouWy,0.123,0.307,0.879,0.0,0.0621,-5.557,0.528,190.393,0.407,205000,9,1,4,35
(I Can't Make It) Another Day,Michael Jackson,5OgTq4ExF13EdcLD6PSYuN,0.0339,0.682,0.837,7.23e-06,0.0471,-4.654,0.116,90.019,0.886,234413,2,1,4,38
(I Like) The Way You Love Me,Michael Jackson,3VDJf1JQWl9m3H1JgdhUNj,0.307,0.626,0.662,1.6e-05,0.241,-4.272,0.0282,94.993,0.511,273800,0,1,4,47
(It's Not War) Just the End of Love,Manic Street Preachers,6s57NVutjlmejmjTJr3Sj0,7.8e-05,0.538,0.886,0.0254,0.21,-5.31,0.0309,138.993,0.565,208053,5,1,4,36
...And the World Laughs With You,Flying Lotus,5STqmIsYNIaupSUZrcDgaZ,0.185,0.637,0.717,0.497,0.141,-7.635,0.143,80.926,0.541,175040,8,0,4,38
1+1,Beyoncé,1pzJboOZaDNwshBnOlNh3a,0.382,0.365,0.382,5.08e-06,0.0661,-7.344,0.0295,148.363,0.268,273880,6,1,3,60
"1,000 Faces",Randy Montana,5wnev4mkgSI6XS1bYLOKS5,0.0267,0.557,0.647,4.4e-05,0.125,-5.791,0.0368,112.979,0.581,241520,2,1,4,15
10 Seconds,Jazmine Sullivan,26W5hzHymyTJj29lw0E9hj,0.229,0.496,0.465,0.0,0.207,-6.358,0.0431,188.15,0.268,187680,8,0,3,52
100 Years From Now,Karen Elson,6xBrJcyJHO1qJJ7uyq1CKs,0.633,0.411,0.341,1.06e-05,0.172,-9.385,0.0287,144.604,0.397,193267,9,1,3,11
1000 Years,The Coral,1ZlcF7Xx5lJtjK3ePVewPL,0.0125,0.537,0.84,0.00589,0.156,-6.642,0.0313,128.046,0.844,171560,2,1,4,18
1979,Good Charlotte,3V6iTpZhci748mC2Fod98t,0.0149,0.563,0.946,0.0,0.191,-2.673,0.0523,117.096,0.52,179947,0,1,4,43
1983,Neon Trees,4DJLcyfnyEGlUejAEAX4az,7.37e-05,0.463,0.981,0.0,0.102,-3.922,0.18,153.048,0.703,222560,10,1,4,52
2 Sides of Me,Hinder,1on38cSel8kKB8A1ElH0sq,0.00195,0.341,0.971,0.0,0.571,-4.154,0.0754,163.863,0.384,204600,6,1,4,42
2012,The Word Alive,0TwcQvlP8MHVaqPx80ChRj,0.000256,0.463,0.871,0.0,0.497,-4.983,0.0448,150.029,0.188,181707,11,0,4,0
2012 (It Ain't the End),Jay Sean,1ERCOXHQcoLSTlgmNTlcrR,0.199,0.717,0.792,0.0,0.423,-2.703,0.0393,126.975,0.513,222200,0,1,4,58
21@12,Hot Hot Heat,3jovYAbHqpeRDeFlhSMayO,0.0117,0.448,0.937,0.0,0.391,-4.0,0.0589,135.125,0.744,221141,5,1,4,9
25 to Life,Eminem,0dyWQoMOU9oERL6c9vxtRp,0.239,0.701,0.931,0.0,0.194,-0.945,0.243,79.996,0.362,241587,8,0,4,63
30 Thousand 100 Million,Soulja Boy,1rlQWFqg0PM0FFYkthHIsO,0.00693,0.809,0.358,0.0,0.11,-4.302,0.112,119.699,0.667,243467,6,1,4,21
4 June 1989,Mary Chapin Carpenter,6FIjLDChjXGtNvQXWuZRW3,0.74,0.529,0.396,0.00879,0.144,-12.046,0.0332,80.021,0.345,287840,5,1,4,11
4th of July (Fireworks),Kelis,6JaUTMxVYwvDT8z4m3VYbo,0.0336,0.729,0.714,0.000933,0.074,-4.729,0.0431,124.042,0.804,328040,4,0,4,27
6 Foot 7 Foot,Lil Wayne,5Qy6a5KzM4XlRxsNcGYhgH,0.0007,0.364,0.752,0.0,0.318,-5.429,0.304,79.119,0.606,248587,2,1,4,73
7x70,Chris August,0jdsdlhKG4VcDxT2WKKZfl,0.222,0.448,0.615,0.0,0.112,-6.088,0.0352,129.957,0.203,236947,0,1,4,28
A Billion Balconies Facing the Sun,Manic Street Preachers,7HrnJuP2PObaICNA75dP3I,9.71e-05,0.463,0.827,0.0438,0.172,-4.852,0.0598,151.99,0.623,219293,0,1,4,17
