Music Name,Artist,Music ID,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Duration_ms,Key,Mode,Time_signature,Popularity
A Brighter Day,The Doobie Brothers,2nmnm4R1MScKcxpp5he2tU,0.0317,0.565,0.792,9.08e-05,0.0927,-4.993,0.064,176.04,0.766,234467,0,1,4,17
A Dream Come True,Elton John & Leon Russell,39yfQlQLPcOsgqLPqM4hM1,0.35,0.557,0.763,0.797,0.136,-10.085,0.0349,118.751,0.766,306560,0,1,4,17
A Father's Love (The Only Way He Knew How),Bucky Covington,3p9s4tvrawZBgPHGXBvRGs,0.411,0.499,0.666,0.0,0.0895,-6.257,0.0369,180.018,0.556,198187,2,1,4,31
A Friend So Kind,The Choir,4CzzrsqMZ83grcE3y4YRdz,0.61,0.403,0.498,0.191,0.104,-9.534,0.0269,79.108,0.178,378440,9,1,4,2
A Happy Place,Katie Melua,3RxItqrYLiA92dsLyDaWNt,0.28,0.735,0.636,1.31e-06,0.216,-5.529,0.0241,98.011,0.429,207213,10,1,4,19
A Little Bit Stronger,Sara Evans,5FIp4LrsffxiHLhmmpCbCx,0.282,0.536,0.65,1.16e-06,0.0876,-5.603,0.0337,147.93,0.288,301987,2,1,4,62
A Lot to Learn About Livin',Easton Corbin,3QwdvrKY66GppDxOirCm0i,0.323,0.821,0.64,0.0,0.167,-8.864,0.0289,120.983,0.954,226720,8,1,4,39
A Man Like Me,Randy Houser,2LWkL3kDIYuC1ajb3s6s5J,0.0808,0.589,0.868,0.0,0.192,-4.956,0.0713,80.048,0.48,199573,0,1,4,23
A Moment Changes Everything,David Gray,43pEbIGnCIeTWcnlwY9VT1,0.0384,0.569,0.798,0.0,0.15,-5.907,0.0332,142.016,0.637,207053,8,1,4,15
A Place Where You Belong,Bullet For My Valentine,1gg2pjLIkcxSnNfGORJ0u5,5.12e-05,0.312,0.832,0.00133,0.148,-3.882,0.0365,133.708,0.33,306467,11,0,4,49
A Pot in Which to Piss,Titus Andronicus,5WdHBxKaZNDIbu9NLdne7n,0.244,0.157,0.802,0.075,0.208,-5.384,0.0548,163.596,0.17,533893,4,1,4,21
A Voice In The Dark,Elvis Costello,4ik5qvzbaBJYaspm7VwBL4,0.694,0.564,0.363,0.000311,0.188,-9.461,0.0372,138.833,0.629,213413,9,0,4,3
A Warrior's Call,Volbeat,4o6k1XHlrIZay8v1m5VU83,0.00077,0.373,0.903,5.86e-06,0.244,-4.49,0.083,109.121,0.43,263080,10,1,3,70
A Year Without Rain,Selena Gomez & The Scene,1r0XfrhdG6bsiS4oe1QM96,0.0102,0.629,0.806,1.72e-05,0.112,-5.264,0.0442,119.966,0.409,234333,2,0,4,59
Absence Of Light,Maximum Balloon,2sK1yHjziJZkUCwCh1GkvD,0.00672,0.596,0.88,0.0118,0.0723,-3.823,0.0531,99.996,0.45,232213,5,1,4,9
Acapella,Karmin,6RjW45KHJ6kgI2xQ1aFa52,0.126,0.667,0.619,0.0,0.101,-4.933,0.151,169.865,0.427,198907,2,1,4,59
Ache with Me,Against Me!,5jWPZIt3Ix7sT7jmmkPjkX,0.0488,0.461,0.695,0.000573,0.113,-4.027,0.0272,104.185,0.194,218493,6,1,4,31
Acolyte,Delphic,269Zd0PGU6TZ0DR0HNltTE,0.000632,0.417,0.964,0.663,0.0921,-5.251,0.0408,133.971,0.232,531307,9,0,4,5
Act of God,Prince,3mhT9bRzLCchW4fRrgBky1,0.183,0.974,0.698,0.00103,0.217,-4.232,0.118,119.726,0.679,193573,11,1,4,18
Action Needs an Audience,Jimmy Eat World,4wWQfo5vHRiwDsAVVEPPVn,0.000193,0.515,0.952,0.0,0.102,-3.833,0.0561,131.088,0.491,160827,2,0,4,33
Acts of Man,Midlake,2HH2AFIT2VBwEs9NMFK1aH,0.558,0.479,0.493,0.0293,0.118,-11.761,0.0271,130.801,0.401,175080,0,0,4,46
ADD SUV,Uffie,7kE1g5T0Mmc84izq9DirqZ,0.00326,0.843,0.972,0.301,0.0324,-6.58,0.144,124.989,0.496,284539,6,0,4,50
Addicted,Jorja Smith,778x5bolqJeICcrtSBNrko,0.241,0.453,0.507,0.0107,0.16,-10.098,0.0519,134.023,0.153,204175,2,1,4,57
Afraid of Everyone,The National,3PDnTRxUNjxzF1OTd0amO8,0.504,0.527,0.779,0.803,0.0996,-7.638,0.0508,126.026,0.239,259093,9,0,4,35
After 17,Alan Jackson,0e6wX1fUW5WLaAb6875KO3,0.36,0.684,0.636,1.43e-06,0.105,-8.34,0.0376,129.984,0.323,230693,0,1,4,32
Afterlife,Hailee Steinfeld,6PFyGdWw0qnstR8KJAWrrr,0.00662,0.673,0.61,0.0,0.0572,-4.73,0.0356,122.063,0.343,209200,1,0,4,58
Age of Adz,Sufjan Stevens,5EP2pGo97siLzMjlJnKmNK,0.757,0.467,0.465,1e-05,0.096,-10.592,0.0334,99.988,0.323,481720,1,1,4,37
Airplane,Plain White T's,38WErIeVQbRoP0DUhndeIE,0.738,0.571,0.267,0.0,0.186,-9.832,0.028,81.594,0.352,138427,7,0,3,24
Airplanes,B.o.B,6lV2MSQmRIkycDScNtrBXO,0.11,0.66,0.867,0.0,0.0368,-4.285,0.116,93.033,0.377,180480,6,0,4,78
Akidagain,Travie McCoy,5ZsjDfALqeCuvWRWQzMgPT,0.00506,0.618,0.737,1.56e-06,0.186,-5.683,0.142,79.235,0.512,221520,1,1,4,25
Albatross,Foals,2kaCiPEB373iNRnbxSI44x,0.233,0.537,0.821,0.752,0.106,-7.051,0.0368,120.01,0.329,323573,2,0,4,43
Album Number Two,Joey + Rory,7o3MZscX1C91i53vY5SN8N,0.161,0.644,0.732,2.77e-06,0.248,-5.473,0.0345,124.914,0.515,177447,2,1,4,7
Alcohol Blind,Drowning Pool,7h6qJvYEuERyNN6cJxxCQV,0.00401,0.492,0.762,0.000676,0.148,-5.565,0.0299,79.504,0.199,251120,4,1,4,20
Alice,Lady Gaga,41A89rj3GoMG6ktN37L7PG,0.00334,0.723,0.88,0.0179,0.0632,-4.287,0.038,123.036,0.323,177600,11,0,4,60
Alive,Big Daddy Weave,78x8gB6FVSDB9q01E7rlI8,9.19e-05,0.515,0.782,0.0,0.0893,-5.958,0.0416,146.091,0.398,206411,0,1,4,49
All About Tonight,Pixie Lott,1Fx9aiORwv0cx5mFEBasHo,0.207,0.637,0.804,0.0,0.115,-6.141,0.0448,129.261,0.732,186173,2,1,3,54
All American Nightmare,Hinder,51HpNM8RKewP5PAuBLqXwy,0.000773,0.47,0.948,0.000373,0.0916,-3.708,0.0539,82.491,0.716,197453,10,1,4,59
All Day,Kanye West,79reBHqpRoWXaQbjBBY3UC,0.0739,0.861,0.651,0.0,0.211,-4.718,0.111,122.985,0.421,310907,9,0,4,63
All I Do Is Win,DJ Khaled,12PNcnMsjsZ3eHm62t8hiy,0.0139,0.545,0.781,0.0,0.161,-3.616,0.185,150.097,0.277,232507,10,1,4,71
All I Need,The-Dream,6a1WGK9LAc7B5ElYbnZW1a,0.231,0.558,0.312,0.928,0.198,-14.516,0.0291,99.946,0.472,196200,7,1,1,0
All I Want,Olivia Rodrigo,4Yxc55NX3tAXC2mHRAhtcW,0.0902,0.376,0.43,0.0,0.0912,-6.585,0.0328,77.599,0.129,177323,0,0,3,79
All I Want For Christmas Is New Year's Day,Hurts,17SFjTyt6kz24l744hQ90Q,0.782,0.55,0.701,1.14e-05,0.386,-5.911,0.0319,129.048,0.115,273773,0,1,4,44
All I Want Is You,Justin Bieber,09V5QQlZjfiqPAGYQHZWvx,0.315,0.562,0.937,0.0,0.448,-4.059,0.0596,150.001,0.437,239920,9,0,4,0
All In,Lil Baby,0zlru783fmr588D5RY9ERU,0.0762,0.837,0.663,0.0,0.0941,-6.434,0.334,95.081,0.293,156032,11,1,4,58
All My Friends Are Insects,Weezer,7wMfeQ28fxxrliSXnzJhiy,0.000111,0.517,0.86,2.15e-06,0.682,-6.434,0.037,152.269,0.688,83253,4,1,4,29
All Night Long,Demi Lovato,4wODOg3NPt56JE0sB6d5hY,0.216,0.649,0.838,0.0,0.638,-4.138,0.078,139.962,0.964,194680,2,0,4,37
All of Creation,MercyMe,4EFsU6lPPhiHuFZ0A7lD9k,0.0147,0.372,0.799,0.0,0.11,-5.416,0.0335,172.05,0.503,236440,10,1,4,47
All of the Lights,Kanye West,22L7bfCiAkJo5xGSQgmiIO,0.0796,0.531,0.803,1.71e-05,0.176,-3.284,0.0717,142.113,0.221,299613,1,1,4,81
All Over Me,Josh Turner,1s8DkdE3uOWrGU7vonKrbK,0.403,0.546,0.776,0.00633,0.193,-7.359,0.0352,169.847,0.888,199493,1,1,4,46
All Signs Point to Lauderdale,A Day to Remember,0T8P86fvSK8kCUJFYPZbIH,0.000263,0.425,0.983,0.0,0.114,-3.437,0.114,149.95,0.513,197200,10,1,4,68
All the Lovers,Kylie Minogue,18JKvOJ3cXbGUePQWT3bLW,0.00285,0.599,0.721,0.164,0.115,-6.212,0.0382,120.048,0.512,199427,0,1,4,57
All the Pretty Things,Tenth Avenue North,2Y5jAUU9ljM8KAq0riqSYE,0.00389,0.545,0.737,0.0,0.288,-6.386,0.0283,119.981,0.246,259773,5,1,4,24
All The Way Down,Little Big Town,6XVpzbg9VTPO4t5ZtlHLp7,0.0199,0.66,0.804,2.5e-06,0.349,-4.872,0.0343,120.002,0.781,188920,11,1,4,18
All the Women I Am,Reba McEntire,7F4o128Eh33lonJrkBNbZQ,0.197,0.644,0.881,0.0,0.326,-3.785,0.0399,96.106,0.6,275800,7,0,4,25
All These Strangers,Elvis Costello,3mfNVvKZJ1il6Nx2dRHfTi,0.863,0.417,0.225,0.0,0.344,-12.542,0.0321,129.363,0.25,353853,7,1,4,3
All Time Low,Jon Bellion,0SuLAslEMFZAXf0SwY7syi,0.0584,0.617,0.567,0.0,0.0933,-4.188,0.0828,90.246,0.505,217603,0,1,4,67
All We Make Is Entertainment,Manic Street Preachers,6St8dLqmkuzbs0XDtNOZyQ,0.000123,0.539,0.918,0.000934,0.191,-4.659,0.0475,116.948,0.585,254027,4,1,4,14
All You Need Is Now,Duran Duran,0YVod4M0y6LTIVNyKXWjDq,0.0295,0.627,0.919,3.16e-05,0.917,-4.428,0.0309,121.97,0.83,273893,0,0,4,25
Alley Cats,Hot Chip,4fnrAIfaolUx93WauNVH7b,0.465,0.734,0.526,0.000251,0.11,-8.086,0.0492,125.936,0.592,319819,1,1,4,33
Almost Alright,Blake Shelton,3s6fCIBZZLfgbA0fXJdY2o,0.0481,0.503,0.869,0.0,0.158,-3.507,0.0708,165.963,0.761,186600,7,1,4,16
Always Loved a Film,Underworld,7aFBi1XzzaHiZX23yYbntO,0.00292,0.687,0.711,0.0296,0.0425,-7.91,0.0396,130.006,0.608,412707,8,1,4,37
Ambitions,Joe McElderry,4zpmvqWwM85sDGnBAoPCnn,0.0193,0.666,0.806,0.0,0.173,-6.618,0.0329,127.034,0.409,175187,6,1,4,28
Ambling Alp,Yeasayer,4gmivt1Q8UbnQZMVHLH43v,0.00827,0.592,0.866,3.55e-05,0.15,-6.444,0.0782,108.038,0.393,235440,1,0,3,40
America,London Grammar,3Jnsn0AUysVxzN9fgJIZPR,0.857,0.495,0.306,9.62e-05,0.0562,-9.481,0.0272,93.129,0.145,245263,0,1,4,36
American Daughters,Sarah Buxton,1PWYt2W8o6iWgUZ2GsKNhp,0.252,0.487,0.715,0.0,0.169,-4.263,0.0324,132.394,0.324,227293,0,1,4,14
American Honey,Lady A,4xInIiKipU1mtUogJ3ZdYr,0.508,0.588,0.684,0.0,0.141,-5.154,0.0288,85.997,0.121,224867,1,1,4,66
American Slang,The Gaslight Anthem,4bbecACyQCPJbg0zasipAb,0.000241,0.559,0.821,0.00438,0.144,-3.046,0.0325,131.948,0.743,221253,0,1,4,46
American Spirit,Tom McRae,42rE3VFq8qsu4Ed4G0IyO3,0.796,0.279,0.225,0.0,0.108,-8.725,0.0322,85.896,0.0923,329147,1,1,4,6
Amorosa,Pitbull,74ZgmOWM9pzxvupnU3pXR0,0.00691,0.815,0.561,0.0,0.0911,-8.471,0.0559,130.005,0.781,212613,2,1,4,15
Amsterdam,Nothing But Thieves,454I78HEySdcHE8fcVabTb,0.00403,0.511,0.934,3.48e-05,0.242,-4.561,0.242,168.062,0.668,272240,3,1,4,69
An Anthem For The Young At Heart,Amber Pacific,2MtYZGoAyJeMnaSwUNPmvG,2.18e-05,0.555,0.968,0.0067,0.225,-1.961,0.0651,102.49,0.928,141840,8,1,4,19
Anchor,Alejandro Escovedo,46eH3Gw0LUR5Ys3wBgbwVd,0.000504,0.517,0.833,8.84e-05,0.213,-5.83,0.031,123.469,0.615,210440,0,1,4,29
Andalucía,Doves,4I3EPhVMreF7mRVuFygBlX,0.0146,0.331,0.927,9.93e-05,0.327,-6.014,0.0518,159.963,0.679,261293,8,0,4,23
Andromeda,Gorillaz,2C0KFbb4v9CNWR5c9jWcKC,0.003,0.788,0.472,0.0322,0.59,-9.021,0.0475,130.084,0.257,197547,0,1,4,65
Angel,Halle,2soZTM1x1GBiQGMAsXKXpd,0.249,0.511,0.446,0.0,0.248,-7.299,0.0293,69.505,0.216,219134,5,0,4,65
Angel Dance,Robert Plant,6714OiO6561bwif4r8SWMQ,0.11,0.498,0.77,0.0931,0.223,-6.754,0.0348,166.876,0.418,229147,5,1,4,28
Angels Cry,Mariah Carey,2YvWjSDGGkBcE5bfFUWOXi,0.125,0.605,0.549,0.0,0.169,-6.707,0.0441,76.994,0.295,241867,0,1,4,41
Animal,Aurora,0YL8f5tV78ZyflRWwEisXt,0.0757,0.624,0.593,9.82e-06,0.223,-6.253,0.058,127.988,0.238,215401,3,0,4,49
Annabel Lee,Stevie Nicks,4tXWVLyuoifdkM1ZQNwNVM,0.0106,0.573,0.837,0.0148,0.066,-5.292,0.0338,112.508,0.536,358520,5,1,4,27
Another Bad Day,Vince Neil,0ld3oDxWi9LJW1NoeabYft,0.00294,0.43,0.852,0.0,0.191,-3.89,0.0327,97.02,0.47,247107,0,1,4,20
Another New World,Josh Ritter,4VZHh61SluOmfMUxlP51YQ,0.575,0.335,0.4,0.000893,0.115,-8.504,0.0322,131.037,0.178,454933,11,0,4,22
Another Night Out,UNKLE,1vsna10t4f58lQ08V9Kced,0.616,0.182,0.377,0.684,0.228,-9.138,0.0338,134.364,0.0364,312347,6,1,3,8
Another Way to Die,Disturbed,3EZAnO8lnPCBCcJcwAZbEB,8.46e-05,0.621,0.967,0.00612,0.12,-2.35,0.0692,112.017,0.315,253387,6,1,4,54
Any Girl,Lloyd Banks,4jvTsIMQEbfJUYe6NrtkE2,0.0588,0.68,0.664,0.0,0.264,-6.813,0.091,98.111,0.388,211467,7,0,4,30
Any Which Way,Scissor Sisters,3IGp5hitRg1PZ06OuaHvaw,0.0137,0.74,0.726,0.087,0.0604,-5.574,0.0744,121.998,0.704,281053,5,0,4,41
Anyone But Him,Mr. Hudson,4v0cZSD7ldEDc2DDLEcedY,0.0114,0.832,0.677,1.2e-05,0.19,-4.546,0.103,148.028,0.83,188200,9,0,4,21
Anything but the Truth,Jack Johnson,1tm0ed6Bh8lDkcszWu6YrJ,0.945,0.651,0.111,0.0257,0.119,-21.289,0.0383,129.053,0.462,173773,6,0,4,38
Apartment Wrestling,Maximum Balloon,56vEHATwwS1USNvzQTBeOX,0.00184,0.794,0.85,0.000347,0.0873,-3.309,0.0306,113.999,0.797,219320,7,1,4,8
Aphrodite,Kylie Minogue,2ttU9n7nBz6aqiwxiElF0G,0.034,0.676,0.951,0.00466,0.0708,-5.223,0.0709,113.021,0.421,225587,9,0,4,37
April's Love,Court Yard Hounds,3r0nuTikmOwqRkHelUjC5f,0.322,0.411,0.252,0.0,0.109,-11.141,0.0322,96.088,0.188,203640,2,1,4,6
Are You Gonna Kiss Me or Not,Thompson Square,2oyJMZrw1DGvvkT2NbCZ0Y,0.039,0.485,0.701,0.0,0.0977,-3.807,0.0288,151.948,0.613,184920,8,1,4,63
Are You Here,Corinne Bailey Rae,2796ENYjtFQ3wCrKBGjSq4,0.67,0.43,0.434,0.027,0.101,-9.25,0.0316,97.929,0.143,252533,9,1,4,24
Are You Ready to Live?,Korn,7JSkuWH5flEv9Qul4ee2R1,0.038,0.463,0.969,2.33e-05,0.075,-3.58,0.151,119.459,0.247,238653,11,0,4,32
Aretha,Rumer,6GWt3Rxk4mOsR7UzyUoOjg,0.586,0.564,0.313,0.0,0.117,-10.905,0.0263,82.996,0.283,195453,10,1,4,14
Arlene,Crystal Bowersox,2ieyivTmtEnDfwFdUFyrJY,0.544,0.678,0.331,0.0119,0.123,-10.658,0.0321,129.939,0.251,175133,2,1,4,8
Armada Latina,Cypress Hill,6Mll2CRQ6neUAIPYJTEOgu,0.0411,0.696,0.939,0.0,0.111,-3.779,0.0893,151.638,0.864,244173,4,1,4,44
As Bad As It Gets,Jewel,2grSlGaNZID8Fo41gEyOqA,0.17,0.557,0.502,1.3e-05,0.155,-4.835,0.0375,144.254,0.209,232640,0,0,4,8
As It Comes,Fran Healy,23Zan82VzJuvVlSk3FQUc9,0.186,0.776,0.617,0.378,0.149,-8.138,0.0289,111.008,0.772,165773,9,0,4,8
As She's Walking Away,Zac Brown Band,65UCejW01DAovmluVYHWAt,0.479,0.553,0.619,0.0,0.123,-7.101,0.0308,183.908,0.376,223827,3,1,4,66
As We Enter,Nas & Damian Marley,1hxcg5FRB5lZv5PdAThDpe,0.203,0.916,0.704,0.0,0.0982,-5.741,0.253,120.23,0.885,147907,7,1,4,52
Ashes & Pearls,Debi Nova,4i40589xrGD5IrPHcvJkr0,0.0164,0.673,0.697,0.00133,0.0845,-6.558,0.0242,92.018,0.581,239093,4,1,4,3
Assembly Line,Randy Montana,02S43GL6ir6iS87tHl9kdP,0.183,0.584,0.496,6.36e-06,0.148,-7.117,0.0313,131.964,0.582,247747,11,1,4,10
Aston Martin Music,Rick Ross,5W7xC99N2Zzfh69r7I7zWK,0.0124,0.57,0.58,0.0,0.0498,-5.547,0.21,171.812,0.404,270627,1,1,4,72
Asylum,John Legend,7lomZYWSJafp2msfEQyjy5,0.0105,0.408,0.441,2.5e-06,0.125,-7.791,0.029,115.829,0.117,197640,2,1,4,33
At or With Me,Jack Johnson,1K4VZwgvFxs68itkIULbLq,0.629,0.646,0.549,5.55e-05,0.254,-6.923,0.0319,113.554,0.483,237840,4,1,4,41
Atlas Air,Massive Attack,4y6aEDPYJ2ObOWoDL84W9u,0.00118,0.678,0.598,0.878,0.119,-10.04,0.0303,106.21,0.712,471529,8,0,4,42
Attack Music,These New Puritans,6P2GO9dk1LQ9dgb3XjjzFY,0.017,0.82,0.675,0.0102,0.202,-6.635,0.0584,138.969,0.84,288107,2,0,4,14
Audio Secrecy,Stone Sour,5JHkWhdaYuiEr0SX8avInN,0.915,0.391,0.015,0.736,0.086,-20.262,0.0515,83.793,0.0375,105507,7,1,4,24
Avalon,Blur,04dv9cmB2ZaAC5EgewTKek,0.263,0.442,0.721,9.03e-05,0.312,-6.322,0.032,139.902,0.327,185156,3,1,1,46
B.M.F. (Blowin' Money Fast),Rick Ross,35QGdv6aFbIaLM0Ozr3rHt,0.0174,0.72,0.863,0.0,0.178,-4.226,0.0562,139.98,0.363,250307,2,1,4,58
Babel,Mumford & Sons,56gIMfbYgE8T317pqNNxrk,0.0262,0.406,0.812,0.000228,0.0787,-6.13,0.0514,81.374,0.648,208933,2,1,4,58
Baby,Aitch,4wHkV6OpCanrNg2PRNhWjM,0.2,0.752,0.813,0.0,0.163,-8.069,0.237,103.836,0.559,177733,4,0,4,64
Baby Don't Cry,Jamey Johnson,0ke4IojV8Obzrwv0yPbj3B,0.548,0.662,0.167,0.00388,0.109,-12.806,0.0482,114.587,0.167,207213,2,1,3,29
Baby Drugs,Tristen,1uyr9SxRvMsMUYV1PmAgyf,0.0104,0.483,0.825,0.000314,0.218,-5.013,0.0454,80.755,0.745,154958,0,1,3,36
Back Down South,Kings of Leon,6HfFLqjxyFJYx1V0olSKof,0.0634,0.476,0.619,0.00075,0.258,-7.221,0.0398,117.113,0.154,241227,0,1,4,61
Back From Cali,Slash,2hVPDYGExN6ux01zQvUwyr,0.00136,0.398,0.747,0.0,0.0917,-6.434,0.0375,132.629,0.677,216360,9,1,4,34
Back from Kathmandu,OK Go,2pKYvGfgCbWiDkhBtXeLnf,0.00206,0.439,0.572,0.26,0.0938,-6.683,0.0378,147.86,0.362,252960,1,1,4,17
Back To December,Taylor Swift,79uDOz0zuuWS7HWxzMmTa2,0.00621,0.497,0.635,0.0,0.117,-3.927,0.0273,142.063,0.203,294190,2,1,4,83
Backstabber,Kesha,4GRFzKI7jTZ3kbMfouc7bn,0.0666,0.6,0.939,6.18e-06,0.34,-1.794,0.19,159.941,0.833,186840,7,1,4,75
Bad Angel,Dierks Bentley,6XprgCfzda230rIyC2B9wS,0.435,0.527,0.63,0.0,0.234,-6.412,0.0284,79.757,0.716,244160,0,1,4,37
Bad Day,Justus Bennetts,3wA4ronkc8ZcPXUP0fDgYA,0.0125,0.883,0.713,0.0,0.45,-4.684,0.307,89.025,0.855,108800,9,1,4,61
Bad Day of Fishin',Billy Currington,2eUPwmBnjYDCtF25ibupuk,0.548,0.834,0.575,0.0,0.194,-4.683,0.0317,115.977,0.526,182880,11,1,4,37
Baddest Chick,Alesha Dixon,58TIrtnGWsPYJU9fZkhU9O,0.0392,0.697,0.82,1.47e-06,0.452,-4.701,0.0346,96.012,0.559,216160,6,0,4,3
Bagman,Stone Temple Pilots,5ebaIRI2rxu1YOOcI77FyT,0.000296,0.579,0.912,0.0354,0.165,-4.345,0.0434,115.961,0.85,165573,0,1,4,13
Bang Bang Bang,Selena Gomez & The Scene,1P5RYVvxPVrzonLqAC8uxk,0.234,0.77,0.766,4.13e-06,0.0921,-2.949,0.0358,114.022,0.834,195160,0,1,4,47
Barbra Streisand,Duck Sauce,6HkmOvGpoYrJ1BdppBNp2t,0.00649,0.707,0.813,0.000448,0.249,-4.129,0.339,127.901,0.741,264814,1,1,4,52
Barely Breathing,The Hold Steady,7J7NYMvgc3DBYte9bo76Gj,0.212,0.509,0.744,0.0,0.0759,-4.158,0.0504,89.881,0.542,217573,7,0,4,12
Barnacled Warship,Johnny Flynn,2R0yDqFfgcgECnVsMeU2au,0.311,0.741,0.554,0.00268,0.66,-7.119,0.0269,108.053,0.607,314013,0,1,4,21
Barricade,Interpol,0Ro229LtstQbd4P3dRAXUD,5.7e-05,0.584,0.874,0.000977,0.0954,-5.814,0.0555,126.452,0.656,250000,4,0,4,44
Basic Instinct (U Got Me),Ciara,0pgguZfCgwEpPQDG4znRax,0.0365,0.542,0.736,0.0,0.254,-5.253,0.284,172.049,0.392,208947,7,1,4,18
Basket Case,Sara Bareilles,7AXUdQmZMA5u221iv6gB0m,0.794,0.427,0.273,1.49e-05,0.095,-10.127,0.0306,76.196,0.426,251286,2,1,4,34
Bass Down Low,Dev,4Xf7EL8G6FRYwvJADl0nf4,0.0778,0.798,0.627,0.0,0.0472,-8.086,0.0602,113.029,0.84,210600,0,1,4,47
Battle,Chris August,6E8ZJ5IpIGTlPrBWDx7tto,0.00197,0.438,0.817,6.39e-06,0.0684,-6.095,0.0376,76.036,0.307,179307,0,0,4,29
Be Good Until Then,Butch Walker,2AGL82tDc0YFvaMolOTsGd,0.834,0.528,0.2,0.0,0.0939,-12.085,0.0364,133.096,0.421,246013,6,1,4,12
