danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.809,0.358,6,-4.302,1,0.112,0.00693,0.0,0.11,0.667,119.699,audio_features,1rlQWFqg0PM0FFYkthHIsO,spotify:track:1rlQWFqg0PM0FFYkthHIsO,https://api.spotify.com/v1/tracks/1rlQWFqg0PM0FFYkthHIsO,https://api.spotify.com/v1/audio-analysis/1rlQWFqg0PM0FFYkthHIsO,243467,4
0.529,0.396,5,-12.046,1,0.0332,0.74,0.00879,0.144,0.345,80.021,audio_features,6FIjLDChjXGtNvQXWuZRW3,spotify:track:6FIjLDChjXGtNvQXWuZRW3,https://api.spotify.com/v1/tracks/6FIjLDChjXGtNvQXWuZRW3,https://api.spotify.com/v1/audio-analysis/6FIjLDChjXGtNvQXWuZRW3,287840,4
0.729,0.714,4,-4.729,0,0.0431,0.0336,0.000933,0.074,0.804,124.042,audio_features,6JaUTMxVYwvDT8z4m3VYbo,spotify:track:6JaUTMxVYwvDT8z4m3VYbo,https://api.spotify.com/v1/tracks/6JaUTMxVYwvDT8z4m3VYbo,https://api.spotify.com/v1/audio-analysis/6JaUTMxVYwvDT8z4m3VYbo,328040,4
0.364,0.752,2,-5.429,1,0.304,0.0007,0.0,0.318,0.606,79.119,audio_features,5Qy6a5KzM4XlRxsNcGYhgH,spotify:track:5Qy6a5KzM4XlRxsNcGYhgH,https://api.spotify.com/v1/tracks/5Qy6a5KzM4XlRxsNcGYhgH,https://api.spotify.com/v1/audio-analysis/5Qy6a5KzM4XlRxsNcGYhgH,248587,4
0.448,0.615,0,-6.088,1,0.0352,0.222,0.0,0.112,0.203,129.957,audio_features,0jdsdlhKG4VcDxT2WKKZfl,spotify:track:0jdsdlhKG4VcDxT2WKKZfl,https://api.spotify.com/v1/tracks/0jdsdlhKG4VcDxT2WKKZfl,https://api.spotify.com/v1/audio-analysis/0jdsdlhKG4VcDxT2WKKZfl,236947,4
0.463,0.827,0,-4.852,1,0.0598,9.71e-05,0.0438,0.172,0.623,151.99,audio_features,2zd2MRU2kgP9zlr83sWiuZ,spotify:track:2zd2MRU2kgP9zlr83sWiuZ,https://api.spotify.com/v1/tracks/2zd2MRU2kgP9zlr83sWiuZ,https://api.spotify.com/v1/audio-analysis/2zd2MRU2kgP9zlr83sWiuZ,219293,4
0.565,0.792,0,-4.993,1,0.064,0.0317,9.08e-05,0.0927,0.766,176.04,audio_features,2nmnm4R1MScKcxpp5he2tU,spotify:track:2nmnm4R1MScKcxpp5he2tU,https://api.spotify.com/v1/tracks/2nmnm4R1MScKcxpp5he2tU,https://api.spotify.com/v1/audio-analysis/2nmnm4R1MScKcxpp5he2tU,234467,4
0.557,0.763,0,-10.085,1,0.0349,0.35,0.797,0.136,0.766,118.751,audio_features,39yfQlQLPcOsgqLPqM4hM1,spotify:track:39yfQlQLPcOsgqLPqM4hM1,https://api.spotify.com/v1/tracks/39yfQlQLPcOsgqLPqM4hM1,https://api.spotify.com/v1/audio-analysis/39yfQlQLPcOsgqLPqM4hM1,306560,4
0.499,0.666,2,-6.257,1,0.0369,0.411,0.0,0.0895,0.556,180.018,audio_features,3p9s4tvrawZBgPHGXBvRGs,spotify:track:3p9s4tvrawZBgPHGXBvRGs,https://api.spotify.com/v1/tracks/3p9s4tvrawZBgPHGXBvRGs,https://api.spotify.com/v1/audio-analysis/3p9s4tvrawZBgPHGXBvRGs,198187,4
0.429,0.201,9,-14.855,1,0.0327,0.764,0.00101,0.121,0.114,79.049,audio_features,5JobX0PJsSKP5YIqHmL04A,spotify:track:5JobX0PJsSKP5YIqHmL04A,https://api.spotify.com/v1/tracks/5JobX0PJsSKP5YIqHmL04A,https://api.spotify.com/v1/audio-analysis/5JobX0PJsSKP5YIqHmL04A,294373,4
