popularity0_7500
35
38
47
35
38
61
15
52
10
17
43
51
42
35
58
10
63
21
10
26
74
28
9
15
16
31
1
23
61
38
22
15
48
21
3
70
58
9
59
31
5
18
33
47
51
57
35
32
58
36
23
78
25
42
6
19
60
48
53
59
63
71
0
79
51
74
59
29
37
46
81
45
68
57
24
17
25
3
67
14
27
33
16
37
28
40
36
12
65
46
6
15
69
19
29
24
65
64
28
40
49
27
19
22
9
54
30
41
20
38
8
37
6
65
24
32
14
7
44
7
8
66
52
3
11
72
33
41
42
14
24
46
58
58
64
29
35
61
33
17
83
74
36
61
37
4
13
46
52
12
20
44
18
34
47
28
12
63
51
56
57
5
53
64
35
33
60
46
43
0
23
45
47
16
72
40
39
33
17
33
41
79
34
4
33
32
13
42
35
44
39
45
19
23
6
41
54
77
32
22
8
0
17
22
69
65
48
48
20
48
40
15
2
55
14
51
64
48
37
43
49
33
19
36
10
56
24
66
41
57
54
33
49
52
55
38
21
60
28
36
36
26
14
27
45
0
40
0
11
50
30
9
0
36
33
43
0
37
48
35
67
60
67
47
23
36
10
73
45
7
40
14
8
36
32
31
4
38
73
69
52
41
17
38
70
37
24
38
26
43
24
43
15
21
48
26
0
57
63
6
30
34
56
23
34
26
40
26
79
85
56
27
0
71
48
54
21
45
44
48
27
72
47
81
45
36
3
59
41
62
72
50
13
21
60
60
6
32
14
6
43
47
24
46
22
36
32
71
84
28
38
25
41
42
17
53
48
38
65
37
14
16
46
13
17
39
26
98
22
68
26
8
29
13
69
63
24
39
82
59
71
81
16
16
59
74
63
31
42
25
15
35
12
22
6
24
43
41
49
23
1
7
19
58
24
82
31
71
82
47
23
64
24
68
35
10
33
33
46
41
45
72
36
44
2
54
11
33
32
14
82
12
71
51
45
27
19
26
50
59
21
25
47
15
49
19
76
26
27
14
23
32
5
0
22
39
7
47
6
60
11
33
42
82
66
16
0
62
3
25
22
49
30
72
34
25
5
26
11
69
86
31
51
1
18
3
24
22
24
56
72
38
34
12
38
33
26
54
15
26
65
41
52
53
41
40
25
41
50
32
23
47
54
51
43
20
7
47
71
10
37
54
79
51
20
41
22
19
48
34
18
14
33
33
47
69
0
36
21
13
4
29
16
0
41
39
47
31
58
5
30
32
21
69
54
40
36
42
73
55
27
26
69
47
10
37
40
63
31
0
13
62
22
34
25
29
67
41
32
20
1
64
27
72
36
18
65
17
0
70
59
68
49
64
34
13
44
25
40
74
39
4
37
32
23
27
17
41
24
40
30
58
46
53
88
46
38
43
52
1
28
53
27
45
33
43
26
44
10
48
50
35
44
29
17
24
43
3
19
59
31
17
71
33
53
48
59
51
18
58
28
12
27
52
50
50
17
24
43
83
16
43
52
29
34
29
0
74
53
5
80
41
17
27
28
22
33
31
42
30
14
29
39
36
53
28
44
31
51
41
67
10
39
53
75
34
15
30
6
24
0
16
46
24
44
58
28
28
16
33
44
64
84
60
31
6
0
50
43
25
67
52
44
34
46
38
24
42
12
59
39
77
22
50
60
17
30
61
62
35
0
26
7
43
25
0
57
68
30
11
54
7
51
51
14
74
1
7
48
13
33
49
49
44
17
42
34
21
27
44
71
20
71
47
65
23
25
50
44
28
41
31
45
5
70
70
55
38
18
46
51
45
30
51
0
36
0
11
46
57
29
41
43
14
0
59
63
10
46
49
53
79
14
54
72
69
49
18
35
25
19
9
41
20
50
50
5
7
38
37
7
3
43
55
54
39
1
20
49
23
13
10
6
51
10
74
68
32
6
39
49
27
33
41
65
0
37
37
45
18
17
57
69
43
49
42
18
32
18
72
17
37
39
42
30
26
41
32
40
40
17
31
21
24
39
31
29
62
56
37
55
29
20
17
23
36
47
4
31
26
26
30
45
38
26
6
44
42
25
37
74
29
12
27
17
20
4
43
14
8
3
46
16
14
32
77
6
26
16
32
86
31
24
24
32
37
63
61
20
67
26
0
45
48
63
45
45
25
52
60
50
28
